"id","fqdn/ip","port","severity","finding","cve","cwe"
"cmdline_fast_depreciation","www.cli-civaux.fr/","443","WARN","'--fast' can have some undesired side effects thus it is not recommended to use anymore","",""
"service","www.cli-civaux.fr/37.59.251.196","443","INFO","HTTP","",""
"pre_128cipher","www.cli-civaux.fr/37.59.251.196","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.cli-civaux.fr/37.59.251.196","443","OK","not offered","",""
"SSLv3","www.cli-civaux.fr/37.59.251.196","443","OK","not offered","",""
"TLS1","www.cli-civaux.fr/37.59.251.196","443","INFO","not offered","",""
"TLS1_1","www.cli-civaux.fr/37.59.251.196","443","INFO","not offered","",""
"TLS1_2","www.cli-civaux.fr/37.59.251.196","443","OK","offered","",""
"TLS1_3","www.cli-civaux.fr/37.59.251.196","443","OK","offered with final","",""
"ALPN_HTTP2","www.cli-civaux.fr/37.59.251.196","443","OK","h2","",""
"ALPN","www.cli-civaux.fr/37.59.251.196","443","INFO","http/1.1","",""
"cipherlist_NULL","www.cli-civaux.fr/37.59.251.196","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.cli-civaux.fr/37.59.251.196","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.cli-civaux.fr/37.59.251.196","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.cli-civaux.fr/37.59.251.196","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.cli-civaux.fr/37.59.251.196","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.cli-civaux.fr/37.59.251.196","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.cli-civaux.fr/37.59.251.196","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.cli-civaux.fr/37.59.251.196","443","OK","offered","",""
"cipher_order-tls1_2","www.cli-civaux.fr/37.59.251.196","443","OK","server","",""
"cipherorder_TLSv1_2","www.cli-civaux.fr/37.59.251.196","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.cli-civaux.fr/37.59.251.196","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.cli-civaux.fr/37.59.251.196","443","OK","offered","",""
"FS_ciphers","www.cli-civaux.fr/37.59.251.196","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_KEMs","www.cli-civaux.fr/37.59.251.196","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.cli-civaux.fr/37.59.251.196","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.cli-civaux.fr/37.59.251.196","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.cli-civaux.fr/37.59.251.196","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.cli-civaux.fr/37.59.251.196","443","INFO","yes","",""
"sessionresumption_ticket","www.cli-civaux.fr/37.59.251.196","443","INFO","not supported","",""
"sessionresumption_ID","www.cli-civaux.fr/37.59.251.196","443","INFO","not supported","",""
"TLS_timestamp","www.cli-civaux.fr/37.59.251.196","443","INFO","random","",""
"certificate_compression","www.cli-civaux.fr/37.59.251.196","443","INFO","none","",""
"clientAuth","www.cli-civaux.fr/37.59.251.196","443","INFO","none","",""
"cert_numbers","www.cli-civaux.fr/37.59.251.196","443","INFO","1","",""
"cert_signatureAlgorithm","www.cli-civaux.fr/37.59.251.196","443","OK","SHA256 with RSA","",""
"cert_keySize","www.cli-civaux.fr/37.59.251.196","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.cli-civaux.fr/37.59.251.196","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.cli-civaux.fr/37.59.251.196","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.cli-civaux.fr/37.59.251.196","443","INFO","064ADC5412F9BD8A0DB289F421610A8448AD","",""
"cert_serialNumberLen","www.cli-civaux.fr/37.59.251.196","443","INFO","18","",""
"cert_fingerprintSHA1","www.cli-civaux.fr/37.59.251.196","443","INFO","E4B0F87EA1592A942EC71289A1AF677D8B73E8ED","",""
"cert_fingerprintSHA256","www.cli-civaux.fr/37.59.251.196","443","INFO","0619B9F885E4E319B016F06C6EB9921D0573BBB6DB48900C236BAE805B9D70D2","",""
