"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.cli-civaux.fr/87.252.12.28","443","INFO","HTTP","",""
"pre_128cipher","www.cli-civaux.fr/87.252.12.28","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.cli-civaux.fr/87.252.12.28","443","OK","not offered","",""
"SSLv3","www.cli-civaux.fr/87.252.12.28","443","OK","not offered","",""
"TLS1","www.cli-civaux.fr/87.252.12.28","443","INFO","not offered","",""
"TLS1_1","www.cli-civaux.fr/87.252.12.28","443","INFO","not offered","",""
"TLS1_2","www.cli-civaux.fr/87.252.12.28","443","OK","offered","",""
"TLS1_3","www.cli-civaux.fr/87.252.12.28","443","OK","offered with final","",""
"ALPN_HTTP2","www.cli-civaux.fr/87.252.12.28","443","OK","h2","",""
"ALPN","www.cli-civaux.fr/87.252.12.28","443","INFO","http/1.1","",""
"cipherlist_NULL","www.cli-civaux.fr/87.252.12.28","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.cli-civaux.fr/87.252.12.28","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.cli-civaux.fr/87.252.12.28","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.cli-civaux.fr/87.252.12.28","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.cli-civaux.fr/87.252.12.28","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.cli-civaux.fr/87.252.12.28","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.cli-civaux.fr/87.252.12.28","443","OK","offered","",""
"cipherlist_STRONG_FS","www.cli-civaux.fr/87.252.12.28","443","OK","offered","",""
"cipher_order-tls1_2","www.cli-civaux.fr/87.252.12.28","443","OK","server","",""
"cipherorder_TLSv1_2","www.cli-civaux.fr/87.252.12.28","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.cli-civaux.fr/87.252.12.28","443","OK","server","",""
"FS","www.cli-civaux.fr/87.252.12.28","443","OK","offered","",""
"FS_ciphers","www.cli-civaux.fr/87.252.12.28","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","www.cli-civaux.fr/87.252.12.28","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.cli-civaux.fr/87.252.12.28","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.cli-civaux.fr/87.252.12.28","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.cli-civaux.fr/87.252.12.28","443","INFO","yes","",""
"sessionresumption_ticket","www.cli-civaux.fr/87.252.12.28","443","INFO","supported","",""
"sessionresumption_ID","www.cli-civaux.fr/87.252.12.28","443","INFO","not supported","",""
"TLS_timestamp","www.cli-civaux.fr/87.252.12.28","443","INFO","random","",""
"certificate_compression","www.cli-civaux.fr/87.252.12.28","443","INFO","none","",""
"clientAuth","www.cli-civaux.fr/87.252.12.28","443","INFO","none","",""
