"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.emploi86.com/91.121.52.142","443","INFO","HTTP","",""
"pre_128cipher","www.emploi86.com/91.121.52.142","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.emploi86.com/91.121.52.142","443","OK","not offered","",""
"SSLv3","www.emploi86.com/91.121.52.142","443","OK","not offered","",""
"TLS1","www.emploi86.com/91.121.52.142","443","INFO","not offered","",""
"TLS1_1","www.emploi86.com/91.121.52.142","443","INFO","not offered","",""
"TLS1_2","www.emploi86.com/91.121.52.142","443","OK","offered","",""
"TLS1_3","www.emploi86.com/91.121.52.142","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.emploi86.com/91.121.52.142","443","OK","h2","",""
"ALPN","www.emploi86.com/91.121.52.142","443","INFO","http/1.1","",""
"cipherlist_NULL","www.emploi86.com/91.121.52.142","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.emploi86.com/91.121.52.142","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.emploi86.com/91.121.52.142","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.emploi86.com/91.121.52.142","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.emploi86.com/91.121.52.142","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.emploi86.com/91.121.52.142","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.emploi86.com/91.121.52.142","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.emploi86.com/91.121.52.142","443","OK","offered","",""
"cipher_order-tls1_2","www.emploi86.com/91.121.52.142","443","OK","server","",""
"cipherorder_TLSv1_2","www.emploi86.com/91.121.52.142","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.emploi86.com/91.121.52.142","443","OK","server","",""
"FS","www.emploi86.com/91.121.52.142","443","OK","offered","",""
"FS_ciphers","www.emploi86.com/91.121.52.142","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.emploi86.com/91.121.52.142","443","OK","prime256v1","",""
"TLS_extensions","www.emploi86.com/91.121.52.142","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'heartbeat/#15' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.emploi86.com/91.121.52.142","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.emploi86.com/91.121.52.142","443","INFO","yes","",""
"sessionresumption_ticket","www.emploi86.com/91.121.52.142","443","INFO","not supported","",""
"sessionresumption_ID","www.emploi86.com/91.121.52.142","443","INFO","supported","",""
"TLS_timestamp","www.emploi86.com/91.121.52.142","443","INFO","random","",""
"cert_compression","www.emploi86.com/91.121.52.142","443","INFO","N/A","",""
"clientAuth","www.emploi86.com/91.121.52.142","443","INFO","none","",""
"cert_numbers","www.emploi86.com/91.121.52.142","443","INFO","1","",""
"cert_signatureAlgorithm","www.emploi86.com/91.121.52.142","443","OK","SHA384 with RSA","",""
"cert_keySize","www.emploi86.com/91.121.52.142","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.emploi86.com/91.121.52.142","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.emploi86.com/91.121.52.142","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.emploi86.com/91.121.52.142","443","INFO","9A0835FCC526FCB00308377B84F58D63","",""
"cert_serialNumberLen","www.emploi86.com/91.121.52.142","443","INFO","16","",""
"cert_fingerprintSHA1","www.emploi86.com/91.121.52.142","443","INFO","5E64A400767B2A9DBC9E46E364C33F333591F4A4","",""
