"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","HTTP","",""
"pre_128cipher","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","No 128 cipher limit bug","",""
"SSLv2","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","not offered","",""
"SSLv3","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","not offered","",""
"TLS1","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","not offered","",""
"TLS1_1","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","not offered","",""
"TLS1_2","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","offered","",""
"TLS1_3","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","offered with final","",""
"ALPN_HTTP2","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","h2","",""
"ALPN","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","http/1.1","",""
"cipherlist_NULL","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","not offered","","CWE-327"
"cipherlist_LOW","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","not offered","",""
"cipherlist_STRONG_FS","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","offered","",""
"cipher_order-tls1_2","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","NOT a cipher order configured","",""
"FS","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","offered","",""
"FS_ciphers","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","yes","",""
"sessionresumption_ticket","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","not supported","",""
"sessionresumption_ID","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","supported","",""
"TLS_timestamp","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","random","",""
"certificate_compression","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","none","",""
"clientAuth","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","none","",""
"cert_numbers","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","1","",""
"cert_signatureAlgorithm","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","SHA256 with RSA","",""
"cert_keySize","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","03D1723F31FC0F08449ECF7824FB229BAAFE","",""
"cert_serialNumberLen","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","18","",""
"cert_fingerprintSHA1","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","4D64C3AF60FF9FB3A39C2486C2B400057827BA36","",""
"cert_fingerprintSHA256","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","06984E98203097DA3B99E66F552DB5916A848E22D5DD5B804445FBE416AEBBC4","",""
"cert","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFCDCCA/CgAwIBAgISA9FyPzH8DwhEns94JPsim6r+MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDA0MTYxMTA0MjVaFw0yNDA3MTUxMTA0MjRaMCkxJzAlBgNVBAMTHmFyY2hpdmVzLWRldXgtc2V2cmVzLXZpZW5uZS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALqC+xjKcn+ws3d5fmUkDJtwb523Rd3Q1lp+xokxHqv1kk7ZiechPOKDTFR2c0DBIVIqzIpvkoDgNwD5CJTQfBOYSma+8+V5kHjHda259JR+hg/EBNigxfoybtv8bpnFpRk9ZHiMAl3U6JMnPx2KvPgy6qP/PxdOfn0xxWiAgj9rnfyK+RiOBRh6vOXAFju6P9pFAiioVnaFo4BEr8Dw+0DexxJJTsK2GhQbT8Uzy5C/quSbIU6ziRj4kcvbR+fY2xDUSCabiTNufdQawUKsuH8HPTMg7gDwlDysIq099yUYnpvVvHKb99nMeuFNhhNQ4kMUx0rtJe2enNweB3Se2B0CAwEAAaOCAh8wggIbMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUOcSibhigzWox3pCQ2pxBh+xAVBowHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wKQYDVR0RBCIwIIIeYXJjaGl2ZXMtZGV1eC1zZXZyZXMtdmllbm5lLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHYASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGO5stGFwAABAMARzBFAiEA2FzF2jleQkwxipL6130B1MCS7iM4VL02aXFaCsKOHH4CIBH1jC9BfUD91WckddnEwa/dQ/iJggD8oDRDwCq+WUsXAHUAO1N3dT4tuYBOizBbBv5AO2fYT8P0x70ADS1yb+H61BcAAAGO5stGHgAABAMARjBEAiBN8Vz2ISaAJKgpB9mDui/rys3/zL0xUeRXMpCJuZmpLQIgZLHiHxaIUAGM49wVawDMke064NmyiNuh4n9qgvP5z6IwDQYJKoZIhvcNAQELBQADggEBAKHByUEOFZBSCV1YDbQhrGv+MzF+uSsIl+bgxXQ8l+jSLjChCYbypkG8DSg1MngsEnbcHit0F/Y9hSwdUIgRhSk4cLvkc1PrWeY6O6mlWx131smK73QU77eNu/0XhQMkiyVQbpJzu5UKCCkt5knvhtOaoBNFRbUbNMmAUkRxYYQddqa6bS1T0mBCandlaLPkryWGdXD7DBT/0GusLeIUKmp+WPX1s+BRFaFHG8khGmbe8Ewae0VdI3kL/zQ4WnknZuc6hfFKLx/j2PYyD4CrII0kUYN+Sd/DhV/sHHRQPz+tVXsQtuswco6xm+vW2R1RKxKjCnPwP50hnSoE+pXy/+8=\n-----END CERTIFICATE-----","",""
"cert_commonName","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","archives-deux-sevres-vienne.fr","",""
"cert_commonName_wo_SNI","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","archives.hautes-alpes.fr","",""
"cert_subjectAltName","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","archives-deux-sevres-vienne.fr","",""
"cert_trust","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","passed.","",""
"cert_certificatePolicies_EV","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","no","",""
"cert_expirationStatus","archives-deux-sevres-vienne.fr/91.223.76.138","443","OK","89 >= 30 days","",""
"cert_notBefore","archives-deux-sevres-vienne.fr/91.223.76.138","443","INFO","2024-04-16 11:04","",""
