"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lireenvienne.fr/83.206.130.186","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","lireenvienne.fr/83.206.130.186","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lireenvienne.fr/83.206.130.186","443","OK","not offered","",""
"SSLv3","lireenvienne.fr/83.206.130.186","443","OK","not offered","",""
"TLS1","lireenvienne.fr/83.206.130.186","443","INFO","not offered","",""
"TLS1_1","lireenvienne.fr/83.206.130.186","443","INFO","not offered","",""
"TLS1_2","lireenvienne.fr/83.206.130.186","443","OK","offered","",""
"TLS1_3","lireenvienne.fr/83.206.130.186","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","lireenvienne.fr/83.206.130.186","443","INFO","http/1.1","",""
"cipherlist_NULL","lireenvienne.fr/83.206.130.186","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lireenvienne.fr/83.206.130.186","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lireenvienne.fr/83.206.130.186","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lireenvienne.fr/83.206.130.186","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lireenvienne.fr/83.206.130.186","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","lireenvienne.fr/83.206.130.186","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","lireenvienne.fr/83.206.130.186","443","OK","offered","",""
"cipherlist_STRONG_FS","lireenvienne.fr/83.206.130.186","443","OK","offered","",""
