"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","marches.departement86.fr/54.36.157.203","443","INFO","HTTP","",""
"pre_128cipher","marches.departement86.fr/54.36.157.203","443","INFO","No 128 cipher limit bug","",""
"SSLv2","marches.departement86.fr/54.36.157.203","443","OK","not offered","",""
"SSLv3","marches.departement86.fr/54.36.157.203","443","OK","not offered","",""
"TLS1","marches.departement86.fr/54.36.157.203","443","INFO","not offered","",""
"TLS1_1","marches.departement86.fr/54.36.157.203","443","INFO","not offered","",""
"TLS1_2","marches.departement86.fr/54.36.157.203","443","OK","offered","",""
"TLS1_3","marches.departement86.fr/54.36.157.203","443","OK","offered with final","",""
"ALPN_HTTP2","marches.departement86.fr/54.36.157.203","443","OK","h2","",""
"ALPN","marches.departement86.fr/54.36.157.203","443","INFO","http/1.1","",""
"cipherlist_NULL","marches.departement86.fr/54.36.157.203","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","marches.departement86.fr/54.36.157.203","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","marches.departement86.fr/54.36.157.203","443","OK","not offered","","CWE-327"
"cipherlist_LOW","marches.departement86.fr/54.36.157.203","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","marches.departement86.fr/54.36.157.203","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","marches.departement86.fr/54.36.157.203","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","marches.departement86.fr/54.36.157.203","443","INFO","not offered","",""
"cipherlist_STRONG_FS","marches.departement86.fr/54.36.157.203","443","OK","offered","",""
"cipher_order-tls1_2","marches.departement86.fr/54.36.157.203","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","marches.departement86.fr/54.36.157.203","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","marches.departement86.fr/54.36.157.203","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 4096    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","marches.departement86.fr/54.36.157.203","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","marches.departement86.fr/54.36.157.203","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 4096    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","marches.departement86.fr/54.36.157.203","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","marches.departement86.fr/54.36.157.203","443","INFO","NOT a cipher order configured","",""
"FS","marches.departement86.fr/54.36.157.203","443","OK","offered","",""
"FS_ciphers","marches.departement86.fr/54.36.157.203","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","marches.departement86.fr/54.36.157.203","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","marches.departement86.fr/54.36.157.203","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","marches.departement86.fr/54.36.157.203","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","marches.departement86.fr/54.36.157.203","443","INFO","yes","",""
"sessionresumption_ticket","marches.departement86.fr/54.36.157.203","443","INFO","not supported","",""
"sessionresumption_ID","marches.departement86.fr/54.36.157.203","443","INFO","supported","",""
"TLS_timestamp","marches.departement86.fr/54.36.157.203","443","INFO","random","",""
"certificate_compression","marches.departement86.fr/54.36.157.203","443","INFO","none","",""
"clientAuth","marches.departement86.fr/54.36.157.203","443","INFO","none","",""
"cert_numbers","marches.departement86.fr/54.36.157.203","443","INFO","1","",""
"cert_signatureAlgorithm","marches.departement86.fr/54.36.157.203","443","OK","SHA256 with RSA","",""
"cert_keySize","marches.departement86.fr/54.36.157.203","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","marches.departement86.fr/54.36.157.203","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","marches.departement86.fr/54.36.157.203","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","marches.departement86.fr/54.36.157.203","443","INFO","D2B7ED06FFD09757021EA1BA1D4EF4A8","",""
"cert_serialNumberLen","marches.departement86.fr/54.36.157.203","443","INFO","16","",""
"cert_fingerprintSHA1","marches.departement86.fr/54.36.157.203","443","INFO","B254CC10ABBD4A9850FF5F435205CBE96D756CFE","",""
"cert_fingerprintSHA256","marches.departement86.fr/54.36.157.203","443","INFO","E73E0E9D0BE89CCDEBEB5AABB28C4BD4D8FD0B7B01B09C6B84B5D640592A6C20","",""
