"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sportsnature.lavienne86.fr/91.188.65.186","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sportsnature.lavienne86.fr/91.188.65.186","443","OK","not offered","",""
"SSLv3","sportsnature.lavienne86.fr/91.188.65.186","443","OK","not offered","",""
"TLS1","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","not offered","",""
"TLS1_1","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","not offered","",""
"TLS1_2","sportsnature.lavienne86.fr/91.188.65.186","443","OK","offered","",""
"TLS1_3","sportsnature.lavienne86.fr/91.188.65.186","443","OK","offered with final","",""
"ALPN_HTTP2","sportsnature.lavienne86.fr/91.188.65.186","443","OK","h2","",""
"ALPN","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","http/1.1","",""
"cipherlist_NULL","sportsnature.lavienne86.fr/91.188.65.186","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sportsnature.lavienne86.fr/91.188.65.186","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sportsnature.lavienne86.fr/91.188.65.186","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sportsnature.lavienne86.fr/91.188.65.186","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sportsnature.lavienne86.fr/91.188.65.186","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sportsnature.lavienne86.fr/91.188.65.186","443","OK","offered","",""
"cipher_order-tls1_2","sportsnature.lavienne86.fr/91.188.65.186","443","OK","server","",""
"cipherorder_TLSv1_2","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","sportsnature.lavienne86.fr/91.188.65.186","443","OK","server","",""
"FS","sportsnature.lavienne86.fr/91.188.65.186","443","OK","offered","",""
"FS_ciphers","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","sportsnature.lavienne86.fr/91.188.65.186","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","yes","",""
"sessionresumption_ticket","sportsnature.lavienne86.fr/91.188.65.186","443","INFO","supported","",""
